Amenity Type,Latitude,Longitude,Google Maps Link
Unknown,22.459282,86.98841,https://www.google.com/maps?q=22.459282,86.98841
Unknown,22.464525,86.97162,https://www.google.com/maps?q=22.464525,86.97162
Unknown,19.218536,76.856735,https://www.google.com/maps?q=19.218536,76.856735
Unknown,17.261467,80.136826,https://www.google.com/maps?q=17.261467,80.136826
Unknown,18.615383,79.39268,https://www.google.com/maps?q=18.615383,79.39268
Unknown,18.61537,79.39272,https://www.google.com/maps?q=18.61537,79.39272
Unknown,18.31651,78.33875,https://www.google.com/maps?q=18.31651,78.33875
Unknown,32.269943,75.62809,https://www.google.com/maps?q=32.269943,75.62809
Unknown,8.088428,77.53692,https://www.google.com/maps?q=8.088428,77.53692
Unknown,21.990904,83.09728,https://www.google.com/maps?q=21.990904,83.09728
Unknown,21.990948,83.09728,https://www.google.com/maps?q=21.990948,83.09728
Unknown,24.635567,87.85662,https://www.google.com/maps?q=24.635567,87.85662
Unknown,19.012907,81.819916,https://www.google.com/maps?q=19.012907,81.819916
Unknown,19.014725,81.91391,https://www.google.com/maps?q=19.014725,81.91391
Unknown,19.067116,81.98341,https://www.google.com/maps?q=19.067116,81.98341
Unknown,19.07234,82.00413,https://www.google.com/maps?q=19.07234,82.00413
Unknown,19.072515,81.99837,https://www.google.com/maps?q=19.072515,81.99837
Unknown,11.616298,75.5786,https://www.google.com/maps?q=11.616298,75.5786
Unknown,24.345839,83.825836,https://www.google.com/maps?q=24.345839,83.825836
Unknown,24.352276,83.821205,https://www.google.com/maps?q=24.352276,83.821205
Unknown,24.37178,83.83735,https://www.google.com/maps?q=24.37178,83.83735
Unknown,24.389412,83.850494,https://www.google.com/maps?q=24.389412,83.850494
Unknown,25.138668,86.137405,https://www.google.com/maps?q=25.138668,86.137405
Unknown,25.13867,86.13737,https://www.google.com/maps?q=25.13867,86.13737
Unknown,28.673796,77.36124,https://www.google.com/maps?q=28.673796,77.36124
Unknown,23.973372,86.04138,https://www.google.com/maps?q=23.973372,86.04138
Unknown,23.973396,86.04143,https://www.google.com/maps?q=23.973396,86.04143
Unknown,23.246025,82.96317,https://www.google.com/maps?q=23.246025,82.96317
Unknown,16.542597,81.63004,https://www.google.com/maps?q=16.542597,81.63004
Unknown,18.85322,73.35417,https://www.google.com/maps?q=18.85322,73.35417
Unknown,27.47319,95.49743,https://www.google.com/maps?q=27.47319,95.49743
Unknown,27.484833,95.35199,https://www.google.com/maps?q=27.484833,95.35199
Unknown,20.6371,79.67028,https://www.google.com/maps?q=20.6371,79.67028
Unknown,20.771273,79.50825,https://www.google.com/maps?q=20.771273,79.50825
Unknown,21.254663,81.58884,https://www.google.com/maps?q=21.254663,81.58884
Unknown,23.1107,72.54937,https://www.google.com/maps?q=23.1107,72.54937
Unknown,30.122734,77.28415,https://www.google.com/maps?q=30.122734,77.28415
Unknown,11.9217415,79.77692,https://www.google.com/maps?q=11.9217415,79.77692
Unknown,30.125175,77.281815,https://www.google.com/maps?q=30.125175,77.281815
Unknown,30.125395,77.28192,https://www.google.com/maps?q=30.125395,77.28192
Unknown,30.12581,77.28113,https://www.google.com/maps?q=30.12581,77.28113
Unknown,12.297349,75.09618,https://www.google.com/maps?q=12.297349,75.09618
Unknown,17.46114,78.52325,https://www.google.com/maps?q=17.46114,78.52325
Unknown,17.461172,78.52331,https://www.google.com/maps?q=17.461172,78.52331
Unknown,12.11886,75.184586,https://www.google.com/maps?q=12.11886,75.184586
Unknown,27.17178,77.98563,https://www.google.com/maps?q=27.17178,77.98563
Unknown,27.171665,77.98566,https://www.google.com/maps?q=27.171665,77.98566
Unknown,17.517056,78.28827,https://www.google.com/maps?q=17.517056,78.28827
Unknown,32.054462,76.62234,https://www.google.com/maps?q=32.054462,76.62234
Unknown,9.997022,76.284355,https://www.google.com/maps?q=9.997022,76.284355
Unknown,22.768986,88.36945,https://www.google.com/maps?q=22.768986,88.36945
Unknown,27.171741,77.98564,https://www.google.com/maps?q=27.171741,77.98564
Unknown,27.182405,78.920616,https://www.google.com/maps?q=27.182405,78.920616
Unknown,22.733723,88.37587,https://www.google.com/maps?q=22.733723,88.37587
Unknown,17.459705,78.52499,https://www.google.com/maps?q=17.459705,78.52499
Unknown,12.396636,75.03725,https://www.google.com/maps?q=12.396636,75.03725
Unknown,15.163766,76.38265,https://www.google.com/maps?q=15.163766,76.38265
Unknown,15.16405,76.3825,https://www.google.com/maps?q=15.16405,76.3825
Unknown,10.759586,76.270546,https://www.google.com/maps?q=10.759586,76.270546
Unknown,14.265315,77.74653,https://www.google.com/maps?q=14.265315,77.74653
Unknown,22.509245,88.3603,https://www.google.com/maps?q=22.509245,88.3603
Unknown,23.008286,72.52054,https://www.google.com/maps?q=23.008286,72.52054
