Amenity Type,Latitude,Longitude,Google Maps Link
Unknown,9.362152,78.83441,https://www.google.com/maps?q=9.362152,78.83441
Unknown,13.001531,80.25526,https://www.google.com/maps?q=13.001531,80.25526
Unknown,11.100757,77.35637,https://www.google.com/maps?q=11.100757,77.35637
Unknown,13.058407,80.20117,https://www.google.com/maps?q=13.058407,80.20117
Unknown,13.118709,80.15724,https://www.google.com/maps?q=13.118709,80.15724
Unknown,11.36085,77.74745,https://www.google.com/maps?q=11.36085,77.74745
Unknown,8.335459,77.86408,https://www.google.com/maps?q=8.335459,77.86408
Unknown,8.336738,77.86439,https://www.google.com/maps?q=8.336738,77.86439
Unknown,11.987065,79.83426,https://www.google.com/maps?q=11.987065,79.83426
Unknown,10.830833,78.68481,https://www.google.com/maps?q=10.830833,78.68481
Unknown,12.879382,79.13407,https://www.google.com/maps?q=12.879382,79.13407
Unknown,9.234662,78.78603,https://www.google.com/maps?q=9.234662,78.78603
Unknown,8.558483,77.97014,https://www.google.com/maps?q=8.558483,77.97014
Unknown,11.130753,77.34125,https://www.google.com/maps?q=11.130753,77.34125
Unknown,12.979919,80.20449,https://www.google.com/maps?q=12.979919,80.20449
Unknown,12.3048,78.206085,https://www.google.com/maps?q=12.3048,78.206085
Unknown,12.306409,78.20292,https://www.google.com/maps?q=12.306409,78.20292
Unknown,12.309806,78.204185,https://www.google.com/maps?q=12.309806,78.204185
Unknown,11.119685,77.34927,https://www.google.com/maps?q=11.119685,77.34927
Unknown,12.525213,78.21493,https://www.google.com/maps?q=12.525213,78.21493
Unknown,12.524644,78.21992,https://www.google.com/maps?q=12.524644,78.21992
Unknown,13.057521,80.12782,https://www.google.com/maps?q=13.057521,80.12782
Unknown,12.741556,80.13284,https://www.google.com/maps?q=12.741556,80.13284
Unknown,8.91443,77.38785,https://www.google.com/maps?q=8.91443,77.38785
Unknown,13.134056,80.103714,https://www.google.com/maps?q=13.134056,80.103714
Unknown,13.133325,80.10336,https://www.google.com/maps?q=13.133325,80.10336
Unknown,12.522753,78.21916,https://www.google.com/maps?q=12.522753,78.21916
Unknown,11.024182,76.97312,https://www.google.com/maps?q=11.024182,76.97312
Unknown,13.067723,80.205,https://www.google.com/maps?q=13.067723,80.205
Unknown,13.038566,80.21658,https://www.google.com/maps?q=13.038566,80.21658
Unknown,13.084967,80.20048,https://www.google.com/maps?q=13.084967,80.20048
Unknown,13.086866,80.199165,https://www.google.com/maps?q=13.086866,80.199165
Unknown,11.439506,77.69573,https://www.google.com/maps?q=11.439506,77.69573
Unknown,11.443259,77.6942,https://www.google.com/maps?q=11.443259,77.6942
Unknown,12.973064,80.133965,https://www.google.com/maps?q=12.973064,80.133965
Unknown,12.980045,80.22866,https://www.google.com/maps?q=12.980045,80.22866
Unknown,12.009608,79.40986,https://www.google.com/maps?q=12.009608,79.40986
Unknown,11.772714,79.55412,https://www.google.com/maps?q=11.772714,79.55412
Unknown,13.035856,80.16449,https://www.google.com/maps?q=13.035856,80.16449
Unknown,11.338402,77.71306,https://www.google.com/maps?q=11.338402,77.71306
Unknown,11.338136,77.71396,https://www.google.com/maps?q=11.338136,77.71396
Unknown,11.338983,77.71385,https://www.google.com/maps?q=11.338983,77.71385
Unknown,12.955941,80.18556,https://www.google.com/maps?q=12.955941,80.18556
Unknown,11.156647,78.02136,https://www.google.com/maps?q=11.156647,78.02136
Unknown,11.241765,77.50371,https://www.google.com/maps?q=11.241765,77.50371
Unknown,12.993363,80.20091,https://www.google.com/maps?q=12.993363,80.20091
Unknown,12.932168,80.23374,https://www.google.com/maps?q=12.932168,80.23374
Unknown,12.796084,80.21552,https://www.google.com/maps?q=12.796084,80.21552
Unknown,12.983796,80.19321,https://www.google.com/maps?q=12.983796,80.19321
Unknown,12.978652,80.18503,https://www.google.com/maps?q=12.978652,80.18503
Unknown,10.834017,78.69473,https://www.google.com/maps?q=10.834017,78.69473
Unknown,10.60399,78.41685,https://www.google.com/maps?q=10.60399,78.41685
Unknown,12.89285,80.1836,https://www.google.com/maps?q=12.89285,80.1836
Unknown,10.810011,78.680435,https://www.google.com/maps?q=10.810011,78.680435
Unknown,12.984259,80.18861,https://www.google.com/maps?q=12.984259,80.18861
Unknown,8.336254,77.86587,https://www.google.com/maps?q=8.336254,77.86587
Unknown,8.338609,77.86728,https://www.google.com/maps?q=8.338609,77.86728
Unknown,13.076782,80.26835,https://www.google.com/maps?q=13.076782,80.26835
Unknown,13.076874,80.26784,https://www.google.com/maps?q=13.076874,80.26784
Unknown,13.076434,80.26724,https://www.google.com/maps?q=13.076434,80.26724
Unknown,8.165261,77.640396,https://www.google.com/maps?q=8.165261,77.640396
Unknown,11.303143,76.936,https://www.google.com/maps?q=11.303143,76.936
Unknown,12.61782,80.195015,https://www.google.com/maps?q=12.61782,80.195015
Unknown,8.174961,77.42717,https://www.google.com/maps?q=8.174961,77.42717
Unknown,8.176581,77.42735,https://www.google.com/maps?q=8.176581,77.42735
Unknown,8.178274,77.43625,https://www.google.com/maps?q=8.178274,77.43625
Unknown,8.173507,77.42757,https://www.google.com/maps?q=8.173507,77.42757
Unknown,8.18239,77.41569,https://www.google.com/maps?q=8.18239,77.41569
Unknown,8.180155,77.42015,https://www.google.com/maps?q=8.180155,77.42015
Unknown,8.182859,77.42932,https://www.google.com/maps?q=8.182859,77.42932
Unknown,11.411003,76.710785,https://www.google.com/maps?q=11.411003,76.710785
Unknown,9.947238,78.15795,https://www.google.com/maps?q=9.947238,78.15795
Unknown,9.948483,78.162544,https://www.google.com/maps?q=9.948483,78.162544
Unknown,8.724901,77.72196,https://www.google.com/maps?q=8.724901,77.72196
Unknown,9.310675,77.548615,https://www.google.com/maps?q=9.310675,77.548615
Unknown,9.31184,77.54872,https://www.google.com/maps?q=9.31184,77.54872
Unknown,9.31171,77.55191,https://www.google.com/maps?q=9.31171,77.55191
Unknown,11.941538,79.486145,https://www.google.com/maps?q=11.941538,79.486145
Unknown,11.939674,79.4864,https://www.google.com/maps?q=11.939674,79.4864
Unknown,11.99338,79.51742,https://www.google.com/maps?q=11.99338,79.51742
Unknown,9.502611,78.09711,https://www.google.com/maps?q=9.502611,78.09711
Unknown,9.589587,77.96185,https://www.google.com/maps?q=9.589587,77.96185
