Hospital,School,Toll Gate,Railway Crossing,Traffic Signal,Bus Stop,Latitude,Longitude,Google Maps Link
No,No,No,No,No,No,12.986562,80.23852,https://www.google.com/maps?q=12.986562,80.23852
No,No,No,No,No,No,12.988515,80.22982,https://www.google.com/maps?q=12.988515,80.22982
No,No,No,No,No,No,12.986714,80.233215,https://www.google.com/maps?q=12.986714,80.233215
No,No,No,No,No,No,12.98656,80.23539,https://www.google.com/maps?q=12.98656,80.23539
No,No,No,No,No,No,13.0439825,80.26838,https://www.google.com/maps?q=13.0439825,80.26838
No,No,No,No,No,No,13.044813,80.2633,https://www.google.com/maps?q=13.044813,80.2633
No,No,No,No,No,No,12.996013,80.2678,https://www.google.com/maps?q=12.996013,80.2678
No,No,No,No,No,No,13.011015,80.25927,https://www.google.com/maps?q=13.011015,80.25927
No,No,No,No,No,No,13.007848,80.25873,https://www.google.com/maps?q=13.007848,80.25873
No,No,No,No,No,No,10.656009,77.00673,https://www.google.com/maps?q=10.656009,77.00673
No,No,No,No,No,No,13.038619,80.25884,https://www.google.com/maps?q=13.038619,80.25884
No,No,No,No,No,No,13.0635,80.243454,https://www.google.com/maps?q=13.0635,80.243454
No,No,No,No,No,No,8.190196,77.39959,https://www.google.com/maps?q=8.190196,77.39959
No,No,No,No,No,No,8.17512,77.43651,https://www.google.com/maps?q=8.17512,77.43651
No,No,No,No,No,No,12.995154,80.18738,https://www.google.com/maps?q=12.995154,80.18738
No,No,No,No,No,No,11.021928,77.102936,https://www.google.com/maps?q=11.021928,77.102936
No,No,No,No,No,No,13.046209,80.25656,https://www.google.com/maps?q=13.046209,80.25656
No,No,No,No,No,No,13.077512,80.26188,https://www.google.com/maps?q=13.077512,80.26188
No,No,No,No,No,No,13.049045,80.28049,https://www.google.com/maps?q=13.049045,80.28049
No,No,No,No,No,No,13.066518,80.26872,https://www.google.com/maps?q=13.066518,80.26872
No,No,No,No,No,No,11.660431,78.15771,https://www.google.com/maps?q=11.660431,78.15771
No,No,No,No,No,No,13.05639,80.28174,https://www.google.com/maps?q=13.05639,80.28174
No,No,No,No,No,No,13.056797,80.282005,https://www.google.com/maps?q=13.056797,80.282005
No,No,No,No,No,No,11.692644,78.23291,https://www.google.com/maps?q=11.692644,78.23291
No,No,No,No,No,No,11.685972,78.22106,https://www.google.com/maps?q=11.685972,78.22106
No,No,No,No,No,No,13.059465,80.24767,https://www.google.com/maps?q=13.059465,80.24767
No,No,No,No,No,No,13.059468,80.24806,https://www.google.com/maps?q=13.059468,80.24806
No,No,No,No,No,No,13.020774,80.26991,https://www.google.com/maps?q=13.020774,80.26991
No,No,No,No,No,No,13.047013,80.2487,https://www.google.com/maps?q=13.047013,80.2487
No,No,No,No,No,No,13.016657,80.18923,https://www.google.com/maps?q=13.016657,80.18923
No,No,No,No,No,No,13.013981,80.226524,https://www.google.com/maps?q=13.013981,80.226524
No,No,No,No,No,No,13.06725,80.25386,https://www.google.com/maps?q=13.06725,80.25386
No,No,No,No,No,No,12.823862,80.240166,https://www.google.com/maps?q=12.823862,80.240166
No,No,No,No,No,No,11.461578,78.18525,https://www.google.com/maps?q=11.461578,78.18525
No,No,No,No,No,No,13.040856,80.12808,https://www.google.com/maps?q=13.040856,80.12808
No,No,No,No,No,No,13.040728,80.12798,https://www.google.com/maps?q=13.040728,80.12798
No,No,No,No,No,No,13.038163,80.13524,https://www.google.com/maps?q=13.038163,80.13524
No,No,No,No,No,No,13.036855,80.142296,https://www.google.com/maps?q=13.036855,80.142296
No,No,No,No,No,No,13.035476,80.154236,https://www.google.com/maps?q=13.035476,80.154236
No,No,No,No,No,No,13.036578,80.14264,https://www.google.com/maps?q=13.036578,80.14264
No,No,No,No,No,No,13.034984,80.15519,https://www.google.com/maps?q=13.034984,80.15519
No,No,No,No,No,No,13.032278,80.163734,https://www.google.com/maps?q=13.032278,80.163734
No,No,No,No,No,No,13.03206,80.1636,https://www.google.com/maps?q=13.03206,80.1636
No,No,No,No,No,No,13.029474,80.16833,https://www.google.com/maps?q=13.029474,80.16833
No,No,No,No,No,No,13.02494,80.176834,https://www.google.com/maps?q=13.02494,80.176834
No,No,No,No,No,No,13.024692,80.17681,https://www.google.com/maps?q=13.024692,80.17681
No,No,No,No,No,No,13.224933,80.32791,https://www.google.com/maps?q=13.224933,80.32791
No,No,No,No,No,No,12.905749,80.16784,https://www.google.com/maps?q=12.905749,80.16784
No,No,No,No,No,No,12.890153,80.18445,https://www.google.com/maps?q=12.890153,80.18445
No,No,No,No,No,No,12.907515,80.19868,https://www.google.com/maps?q=12.907515,80.19868
No,No,No,No,No,No,13.158755,80.2984,https://www.google.com/maps?q=13.158755,80.2984
No,No,No,No,No,No,13.159283,80.30217,https://www.google.com/maps?q=13.159283,80.30217
No,No,No,No,No,No,13.051341,80.25163,https://www.google.com/maps?q=13.051341,80.25163
No,No,No,No,No,No,13.051476,80.251884,https://www.google.com/maps?q=13.051476,80.251884
No,No,No,No,No,No,13.079959,80.25478,https://www.google.com/maps?q=13.079959,80.25478
No,No,No,No,No,No,13.05087,80.094795,https://www.google.com/maps?q=13.05087,80.094795
No,No,No,No,No,No,13.03037,80.23827,https://www.google.com/maps?q=13.03037,80.23827
No,No,No,No,No,No,13.029554,80.243774,https://www.google.com/maps?q=13.029554,80.243774
No,No,No,No,No,No,13.036874,80.24668,https://www.google.com/maps?q=13.036874,80.24668
No,No,No,No,No,No,13.0441885,80.19368,https://www.google.com/maps?q=13.0441885,80.19368
No,No,No,No,No,No,13.007357,80.201805,https://www.google.com/maps?q=13.007357,80.201805
No,No,No,No,No,No,13.007339,80.19696,https://www.google.com/maps?q=13.007339,80.19696
No,No,No,No,No,No,13.085262,80.28549,https://www.google.com/maps?q=13.085262,80.28549
No,No,No,No,No,No,13.087597,80.285255,https://www.google.com/maps?q=13.087597,80.285255
No,No,No,No,No,No,13.088519,80.28818,https://www.google.com/maps?q=13.088519,80.28818
No,No,No,No,No,No,11.580511,76.58267,https://www.google.com/maps?q=11.580511,76.58267
No,No,No,No,No,No,13.047024,80.21193,https://www.google.com/maps?q=13.047024,80.21193
No,No,No,No,No,No,13.048953,80.20712,https://www.google.com/maps?q=13.048953,80.20712
No,No,No,No,No,No,12.994706,80.206535,https://www.google.com/maps?q=12.994706,80.206535
No,No,No,No,No,No,13.062793,80.19718,https://www.google.com/maps?q=13.062793,80.19718
No,No,No,No,No,No,13.063119,80.19721,https://www.google.com/maps?q=13.063119,80.19721
